,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,is_white,is_red
0,1.539673563,0.551753882,1.19957254,-0.638767026,0.853610341,-0.42421636,0.005837174,0.9650369,0.073286075,0.727664749,-0.834703229,-1.765288089,1.765288089
1,-1.092997192,-0.180769354,0.080481984,-0.889559552,-0.570974844,-0.42421636,-0.297192501,-1.016405573,-0.239586763,0.460432645,-0.002812659,0.566479775,-0.566479775
2,-1.015565699,-1.340597812,-0.339176975,-0.137181975,-0.741925067,0.533180276,-0.101114476,-0.798446901,2.07567224,0.994896853,1.328212253,0.566479775,-0.566479775
3,-1.32529167,-0.974336194,-0.688892773,0.009113665,-0.542483141,-1.156343199,-0.528921077,-1.029615189,1.512501131,-0.608495771,1.41140131,0.566479775,-0.566479775
4,-0.628408235,-1.432163217,-0.199290655,-0.910458929,-0.599466548,0.758450072,0.433643775,-1.075848847,-0.302161331,0.126392515,0.163565455,0.566479775,-0.566479775
5,-0.318682264,-0.363900164,0.570084102,3.457510891,-0.2290744,0.983719869,0.9149262,2.087854302,-1.803950955,-0.207647615,-1.500215685,0.566479775,-0.566479775
6,-0.550976742,-0.730161782,-0.479063294,2.433441412,-0.172090993,0.758450072,0.397993225,1.790637931,0.511308048,-1.076151953,-1.417026628,0.566479775,-0.566479775
7,0.0684752,0.368623073,-0.269233815,0.218107436,-0.542483141,-0.255264013,-0.332843051,-1.056034422,-0.364735899,0.326816593,1.744157539,0.566479775,-0.566479775
8,0.0684752,-0.730161782,0.570084102,1.942306049,-0.400024622,0.786608797,0.246478387,1.691565807,0.886755454,-0.808919849,-1.167459457,0.566479775,-0.566479775
9,-0.473545249,3.451325026,-0.898722253,-0.973157061,-0.2290744,-0.762121055,1.574461376,-0.421972831,0.761606319,0.193200541,-0.418757944,0.566479775,-0.566479775
10,2.701145955,0.368623073,1.129629381,-0.701465158,1.964786785,-0.874755953,-1.188456252,1.097133065,-1.178205278,1.863401191,-0.668325115,-1.765288089,1.765288089
11,0.997653114,-0.974336194,-0.129347495,-0.910458929,-0.798908474,0.195275581,-0.368493601,-0.646536311,-2.429696631,-1.142959979,-0.418757944,0.566479775,-0.566479775
12,-0.086387785,-0.974336194,0.500140943,2.046802935,-0.257566104,0.814767522,0.754498725,1.579284067,0.761606319,1.596169087,-1.167459457,0.566479775,-0.566479775
13,-0.473545249,2.352540171,-0.828779093,0.489799339,0.483218193,-0.086311665,-0.653698002,0.998060941,0.448733481,0.059584489,-1.0842704,-1.765288089,1.765288089
14,-1.867312119,-0.058682148,-2.227642289,0.218107436,-0.798908474,0.195275581,0.8436251,-0.322900707,0.824180887,0.527240671,-0.501947001,0.566479775,-0.566479775
15,-0.78327122,-0.791205385,-0.549006454,-0.889559552,-0.143599289,0.026323233,-0.368493601,-1.425903684,0.135860643,0.260008567,0.662699797,0.566479775,-0.566479775
16,0.455632664,-0.791205385,1.19957254,-0.858210486,-0.115107585,-1.381612996,-1.206281527,-1.181525779,-0.427310466,-1.677424187,0.745888854,0.566479775,-0.566479775
