,is_good_wine
5422,0
629,1
3854,1
3123,0
4796,1
191,0
2112,0
2293,1
1197,1
372,0
5410,1
3714,0
3431,1
6487,0
864,0
4468,1
1472,0
5727,1
3364,1
2806,0
454,1
3219,1
6308,1
949,0
2213,1
6061,0
1685,1
2773,1
5815,1
4851,0
1440,0
4788,0
3251,1
6130,0
2267,1
5708,0
862,1
3156,0
4897,1
4741,1
2683,0
344,1
579,1
6467,1
400,1
4012,1
2915,1
6371,0
2685,1
6375,1
5220,0
5587,0
2892,0
1766,0
1000,1
5091,0
1835,0
430,0
1253,1
5689,0
3044,1
4082,1
1066,1
6337,1
4244,0
1499,1
2789,0
3300,0
2330,1
1410,1
1091,1
599,1
6250,0
2787,0
919,1
704,1
6090,1
1613,1
1206,1
246,1
4466,0
2855,1
728,0
1395,1
3282,1
5306,1
234,1
3756,0
254,1
1591,1
1095,1
1598,1
2367,1
2856,1
1747,1
1793,0
5995,0
1837,1
5763,0
1513,1
3248,1
4126,0
2054,0
2626,1
800,1
5732,0
6491,1
2042,1
2312,0
2593,0
3133,1
4953,0
3155,1
4823,1
1108,1
1048,0
608,0
1834,1
611,1
3237,1
3919,1
343,0
3555,1
1284,1
852,1
5374,0
3497,1
2883,1
2119,0
4070,0
6047,1
3570,1
121,0
1916,0
5902,0
1566,0
5607,1
3534,0
1716,1
613,0
251,0
3113,1
2933,1
559,1
1469,0
4790,1
2996,1
5698,0
2774,1
922,1
80,1
2107,1
659,0
1077,0
2435,0
3619,1
6197,0
863,1
4044,1
124,1
2124,1
3405,1
4109,1
96,1
5399,1
3794,0
990,1
2870,1
3247,1
5653,1
4938,0
3028,1
5896,1
1978,1
6477,0
2200,0
4108,1
603,0
6367,0
6456,0
52,1
5181,1
2850,0
1460,1
2779,0
4028,1
6162,1
427,0
4275,1
2355,1
4431,1
4092,1
4265,1
2173,0
2568,1
6031,1
2304,1
5723,0
4399,0
2509,0
35,0
2993,1
2489,1
417,0
4067,0
4401,1
1539,1
4051,1
5291,0
1661,1
4049,1
4114,1
2874,1
1267,1
196,0
3124,1
5810,1
522,1
2075,0
6348,1
6029,0
1981,1
3164,1
3910,1
5240,1
5792,1
466,1
194,0
873,0
4587,1
565,1
2381,1
2038,0
3106,1
3215,1
4470,1
69,0
3202,1
3639,1
3773,0
3594,1
4626,1
4868,1
3816,0
5187,0
4802,1
6077,1
2764,1
6045,1
3494,1
4876,1
5130,1
1607,1
1503,1
2543,1
333,0
1914,1
5363,0
6102,1
1657,1
2270,1
477,1
117,1
1456,1
2464,0
1704,0
2752,1
1939,0
3458,1
1762,1
2908,1
3711,1
1163,1
5316,1
4703,1
415,1
5093,0
5020,0
5634,0
2467,1
2842,1
4294,0
3961,0
4786,1
2985,1
4019,0
4597,1
2636,0
1190,1
5214,0
